AvgTurnTime,CompleteCityScore,CompleteMonasteryScore,CompleteRoadScore,Draw,FarmScore,FixtureSet,Game,IncompleteCityScore,IncompleteMonasteryScore,IncompleteRoadScore,Loss,MeepleFeatures,MeepleTurns,MeeplesPlayed,Opponent,OpponentScore,Player,PlayerScore,Result,Turns,Win
54.87595453527239,8,0,22,0,12,1,16,16,15,0,1,"['C', 'R', 'C', 'Monastery', 'C', 'C', 'G', 'Monastery', 'R', 'C', 'R', 'G']","[1, 2, 4, 5, 6, 7, 8, 11, 22, 32, 33, 34]",12,M_RAVE,89,GP_MCTS,73,2,36,0
17.294328985987484,8,9,4,0,12,1,17,22,0,10,1,"['C', 'C', 'C', 'R', 'R', 'C', 'G', 'R', 'R', 'Monastery', 'C', 'G']","[1, 2, 3, 4, 6, 7, 8, 11, 19, 20, 25, 26]",12,GP_MCTS,70,M_RAVE,65,2,37,0
60.05167870389091,28,0,10,0,9,1,17,13,8,2,0,"['C', 'R', 'C', 'Monastery', 'C', 'R', 'C', 'G', 'R', 'C', 'G', 'C', 'C', 'C']","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 20, 21]",14,M_RAVE,65,GP_MCTS,70,1,36,1
16.901157108513086,8,0,0,0,18,1,18,18,0,9,1,"['R', 'C', 'G', 'G', 'R', 'G', 'C', 'C']","[1, 3, 4, 5, 6, 7, 8, 9]",8,GP_MCTS,88,M_RAVE,53,2,37,0
55.95745780732896,24,9,21,0,0,1,18,13,15,6,0,"['R', 'C', 'Monastery', 'R', 'C', 'R', 'G', 'R', 'Monastery', 'C', 'C', 'R', 'C', 'Monastery', 'C', 'C', 'R', 'R']","[1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 21, 22, 26, 29, 31, 33, 34]",18,M_RAVE,53,GP_MCTS,88,1,36,1
17.369125553079552,0,0,3,0,9,1,19,11,15,15,1,"['C', 'R', 'R', 'Monastery', 'G', 'Monastery', 'R', 'R']","[1, 3, 4, 5, 6, 7, 8, 26]",8,GP_MCTS,74,M_RAVE,53,2,37,0
60.53744603527917,16,0,9,0,9,1,19,24,8,8,0,"['C', 'R', 'C', 'R', 'G', 'R', 'R', 'C', 'R', 'Monastery', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 35]",12,M_RAVE,53,GP_MCTS,74,1,36,1
16.90920259501483,32,0,7,0,27,1,20,19,0,3,0,"['C', 'C', 'G', 'C', 'C', 'G', 'R', 'C', 'C', 'C', 'G', 'R', 'C', 'R', 'G']","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 32, 33, 34]",15,GP_MCTS,40,M_RAVE,88,1,37,1
58.52164059215122,4,9,0,0,3,1,20,10,0,14,1,"['R', 'G', 'C', 'Monastery', 'R', 'R', 'C', 'G', 'C']","[1, 2, 3, 4, 5, 6, 7, 12, 14]",9,M_RAVE,88,GP_MCTS,40,2,36,0
16.734984017707205,18,9,8,0,33,1,21,0,8,6,0,"['R', 'R', 'G', 'C', 'C', 'C', 'R', 'Monastery', 'G', 'C', 'G', 'G', 'Monastery', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 36]",14,GP_MCTS,64,M_RAVE,82,1,37,1
